covariance_type,k,bic,silhouette_score
full,8,-339070.6458267523,0.0038003805129356912
full,7,-305386.30800430424,-0.0008113894705541032
full,6,-298681.33148254163,0.013274950072637747
full,5,-250769.26883423392,0.014022794331371501
full,4,-182824.261495923,0.027042957338096946
tied,8,249554.15426527365,0.07387557253702391
tied,7,253875.63086373406,0.07188158922738049
tied,6,275252.5674197764,0.06371871259315133
tied,5,287514.8421873116,0.0544025035575843
tied,4,292206.96250964806,0.07819377751076222
diag,8,822157.9724529054,0.010217346475909505
diag,7,866018.7659096131,0.033336402993195055
diag,6,883372.3580368388,0.039402393430688194
diag,4,953604.7892287617,0.05569314505811692
diag,5,969984.6507564803,0.045564991206318135
spherical,8,1476723.6298581648,0.08636060598995789
spherical,7,1491266.8403047046,0.05323365528995953
spherical,6,1500325.1653879632,0.07327583606657134
spherical,5,1522547.7383544454,0.07956337973700796
spherical,4,1536112.233732606,0.07089647742602383
