column,dtype,missing_count,missing_pct,n_unique
GameID,int64,0,0.0,984331
Event,string,0,0.0,1787
Site,string,0,0.0,984331
Date,string,0,0.0,32
Round,string,0,0.0,1
White,string,0,0.0,24908
Black,string,0,0.0,25286
Result,string,0,0.0,3
WhiteElo,float64,0,0.0,2044
BlackElo,float64,0,0.0,2028
WhiteRatingDiff,float64,0,0.0,1010
BlackRatingDiff,float64,0,0.0,1024
UTCDate,string,0,0.0,32
UTCTime,string,0,0.0,86297
TimeControl,string,0,0.0,645
Termination,string,0,0.0,3
ECO,string,0,0.0,487
Opening,string,0,0.0,2658
EloDiff,float64,0,0.0,2214
AvgElo,float64,0,0.0,3321
GameDate,string,0,0.0,32
GameDateSource,string,0,0.0,1
OpeningCode,string,0,0.0,487
OpeningName,string,0,0.0,2658
NumericResult,float64,0,0.0,3
TimeControlBaseSeconds,float64,0,0.0,33
TimeControlIncrementSeconds,float64,0,0.0,33
TimeControlBucket,string,0,0.0,4
PlyCount,int64,0,0.0,279
MoveCount,int64,0,0.0,149
GameLengthBucket,string,0,0.0,3
WhiteCastled,int64,0,0.0,2
BlackCastled,int64,0,0.0,2
WhiteCastleSide,string,0,0.0,3
BlackCastleSide,string,0,0.0,3
WhiteFirstCastlePly,string,0,0.0,42
BlackFirstCastlePly,string,0,0.0,48
WhiteEarlyQueenMove,int64,0,0.0,2
BlackEarlyQueenMove,int64,0,0.0,2
FirstCapturePly,float64,0,0.0,71
FirstCheckPly,float64,0,0.0,154
OpeningCaptureCount12Ply,int64,0,0.0,9
OpeningCheckCount12Ply,int64,0,0.0,5
OpeningPieceMoveCount12Ply,int64,0,0.0,13
OpeningPawnMoveCount12Ply,int64,0,0.0,13
WhitePawnMoves,int64,0,0.0,42
BlackPawnMoves,int64,0,0.0,42
WhiteKnightMoves,int64,0,0.0,65
BlackKnightMoves,int64,0,0.0,66
WhiteBishopMoves,int64,0,0.0,69
BlackBishopMoves,int64,0,0.0,73
WhiteRookMoves,int64,0,0.0,72
BlackRookMoves,int64,0,0.0,73
WhiteQueenMoves,int64,0,0.0,66
BlackQueenMoves,int64,0,0.0,71
WhiteKingMoves,int64,0,0.0,83
BlackKingMoves,int64,0,0.0,85
TotalCaptures,int64,0,0.0,30
TotalChecks,int64,0,0.0,77
TotalPromotions,int64,0,0.0,9
EnPassantCount,int64,0,0.0,4
MovesSAN,string,0,0.0,983244
MovesUCI,string,0,0.0,983244
FinalFEN,string,0,0.0,982145
ExtraHeaders,string,0,0.0,1
result_class,str,0,0.0,3
is_draw,int64,0,0.0,2
is_white_win,int64,0,0.0,2
is_black_win,int64,0,0.0,2
event_group,string,0,0.0,3
