column,count,mean,std,min,25%,50%,75%,max
GameID,984331.0,555196.0373299225,320933.0107676987,1.0,277233.5,554577.0,833776.0,1111302.0
WhiteElo,984331.0,1637.6915763091886,239.76138015866005,756.0,1477.0,1635.0,1794.0,2962.0
BlackElo,984331.0,1632.3624035004486,243.05490687862206,751.0,1471.0,1628.0,1790.0,2960.0
WhiteRatingDiff,984331.0,0.2618082738428435,27.34655548204899,-599.0,-10.0,2.0,10.0,653.0
BlackRatingDiff,984331.0,-0.5805912848421924,29.16184692761379,-610.0,-10.0,-2.0,9.0,639.0
EloDiff,984331.0,5.329172808740149,197.37315268604704,-1591.0,-99.0,5.0,109.0,1470.0
AvgElo,984331.0,1635.0269899048185,220.32149971433375,786.0,1483.5,1629.5,1777.5,2676.5
NumericResult,984331.0,0.5181651294127687,0.48960935324905497,0.0,0.0,0.5,1.0,1.0
TimeControlBaseSeconds,984331.0,305.4198841649811,371.20335216270297,0.0,120.0,300.0,300.0,10800.0
TimeControlIncrementSeconds,984331.0,2.0535673467563247,5.002369934103858,0.0,0.0,0.0,3.0,180.0
PlyCount,984331.0,71.51259992827616,29.95216031389782,4.0,50.0,68.0,89.0,354.0
MoveCount,984331.0,36.014090788566044,14.968700817574131,2.0,25.0,34.0,45.0,177.0
WhiteCastled,984331.0,0.8047709561113081,0.396377123364661,0.0,1.0,1.0,1.0,1.0
BlackCastled,984331.0,0.7505920264626431,0.432670574984205,0.0,1.0,1.0,1.0,1.0
WhiteEarlyQueenMove,984331.0,0.12250147562151349,0.3278642604770902,0.0,0.0,0.0,0.0,1.0
BlackEarlyQueenMove,984331.0,0.14702269866538797,0.35412872256563865,0.0,0.0,0.0,0.0,1.0
FirstCapturePly,984331.0,11.893454539174323,6.915425957134717,3.0,6.0,10.0,16.0,105.0
FirstCheckPly,984331.0,32.110028029189365,18.549748392540554,3.0,17.0,29.0,45.0,196.0
OpeningCaptureCount12Ply,984331.0,1.4092627378392024,1.3645348461430378,0.0,0.0,2.0,2.0,8.0
OpeningCheckCount12Ply,984331.0,0.18173866311230674,0.45865676100961944,0.0,0.0,0.0,0.0,4.0
OpeningPieceMoveCount12Ply,984331.0,5.639242287401291,1.5405616563343114,0.0,5.0,6.0,7.0,12.0
OpeningPawnMoveCount12Ply,984331.0,6.351616478603234,1.5445507461217225,0.0,5.0,6.0,7.0,12.0
WhitePawnMoves,984331.0,10.060615788794623,4.235839912275126,0.0,7.0,10.0,13.0,43.0
BlackPawnMoves,984331.0,10.023433174409828,4.22824317928899,0.0,7.0,10.0,13.0,42.0
WhiteKnightMoves,984331.0,6.186243245412366,3.496378762226687,0.0,4.0,6.0,8.0,70.0
BlackKnightMoves,984331.0,6.101502441759936,3.4991892296559928,0.0,4.0,5.0,8.0,92.0
WhiteBishopMoves,984331.0,5.494083799047272,3.073190790964007,0.0,4.0,5.0,7.0,94.0
BlackBishopMoves,984331.0,5.282910931383854,3.1030377869776613,0.0,3.0,5.0,7.0,117.0
WhiteRookMoves,984331.0,5.154357629699765,4.97419693507244,0.0,2.0,4.0,7.0,80.0
BlackRookMoves,984331.0,5.0156156821231885,4.960862436886823,0.0,2.0,4.0,7.0,79.0
WhiteQueenMoves,984331.0,4.431108031749482,3.717465720566065,0.0,2.0,4.0,6.0,93.0
BlackQueenMoves,984331.0,4.302445010875407,3.713562736217182,0.0,2.0,3.0,6.0,81.0
WhiteKingMoves,984331.0,4.687682293862532,5.609799877365926,0.0,1.0,2.0,6.0,107.0
BlackKingMoves,984331.0,4.772601899157905,5.589451583145991,0.0,1.0,3.0,6.0,120.0
TotalCaptures,984331.0,16.66721153758238,6.26046354430684,1.0,12.0,17.0,21.0,30.0
TotalChecks,984331.0,5.484301520525108,4.521263939194559,1.0,2.0,4.0,7.0,88.0
TotalPromotions,984331.0,0.1776150502219274,0.4859000667929886,0.0,0.0,0.0,0.0,8.0
EnPassantCount,984331.0,0.032856833727679,0.1804933212643589,0.0,0.0,0.0,0.0,3.0
is_draw,984331.0,0.0398118112708022,0.1955169296749558,0.0,0.0,0.0,0.0,1.0
is_white_win,984331.0,0.4982592237773676,0.4999972236672206,0.0,0.0,0.0,1.0,1.0
is_black_win,984331.0,0.4619289649518302,0.49854874264985166,0.0,0.0,0.0,1.0,1.0
