opening,count,pct
Van't Kruijs Opening,22772,2.313449439263825
Modern Defense,17829,1.8112809613839247
Owen Defense,17195,1.746871733187312
Scandinavian Defense: Mieses-Kotroc Variation,16745,1.7011554040256782
Horwitz Defense,16692,1.6957710363688636
French Defense: Knight Variation,14947,1.5184932710643066
Caro-Kann Defense,13938,1.415987101899666
Sicilian Defense,13460,1.3674262011457528
Hungarian Opening,13422,1.3635657111276593
Sicilian Defense: Bowdler Attack,12033,1.2224546417820834
Scandinavian Defense,11451,1.163328189399704
Queen's Pawn Game #2,10817,1.0989189612030912
Philidor Defense #3,10245,1.040808427246526
Philidor Defense #2,9566,0.9718275661337497
Queen's Pawn,9477,0.9627858921440043
Bishop's Opening,9025,0.9168663792972079
French Defense: Normal Variation,8769,0.8908588675963675
King's Pawn Game: Leonardis Variation,8505,0.8640386211548757
Pirc Defense #4,8328,0.8460568650179665
Queen's Pawn Game,8132,0.8261448638720106
